       THR22_0581_S01  TH03_0003_S04  THR09_0223_S01  THR20_0495_S01  \
THR09_0566_S01	PolyA
THR11_0274_S01	PolyA
THR19_0461_S01	PolyA
THR14_0318_S01	PolyA
THR08_0209_S01	PolyA
THR08_0162_S02	PolyA
THR20_0494_S01	PolyA
THR15_0361_S01	PolyA
TH01_0131_S01	RiboD
THR14_0308_S01	PolyA
THR19_0435_S01	RiboD
THR19_0443_S01	PolyA
THR19_0423_S01	RiboD
