,var
AC005702.3,0.05662904558729247
AC005702.4,0.044533803484085296
AC005703.2,0.0003435605780099938
AC005703.3,0.0006198704635915274
AC005722.4,0.0037855623844185774
AC005725.1,0.0
AC005730.2,0.007959989521366988
AC005740.3,0.20100005836858015
AC005740.4,0.007515944634178027
AC005740.5,0.006761741526843786
AC005740.6,0.08068005727954788
AC005741.2,0.0008150357312735281
AC005752.10,0.024528433106373183
AC005753.1,0.13508009104543828
AC005754.7,0.25979952976948145
AC005754.8,0.3522068067590802
AC005757.6,0.03682228019799653
AC005757.7,0.0298843484623652
AC005758.1,0.0014262409099260603
AC005772.2,0.0007857325917291196
AC005775.2,0.13371815125285327
AC005776.1,0.3788282017525771
AC005777.3,0.004913132486924645
AC005779.2,0.022550536744252538
AC005780.1,0.025663934419848742
AC005783.1,0.0
AC005785.2,0.21064555560756512
AC005785.5,0.38046099377451004
AC005786.3,0.1621580854293314
AC005786.5,0.007472103546329532
AC005786.6,0.007830581152615097
AC005786.7,3.0585805228821195
AC005789.9,0.013890878710445564
AC005794.1,0.006810460452102132
AC005795.1,0.1361567331415595
AC005796.2,0.05820601443617298
AC005808.3,0.012376888107570047
AC005822.1,0.05588520517269124
AC005828.1,0.002808188142537905
AC005838.2,0.09503014360705118
AC005863.1,0.03396852794951791
AC005863.2,0.0002592992158828965
AC005901.1,0.0037832893748606855
AC005915.1,0.00027541750250555564
AC005926.1,0.0
AC005932.1,0.17470965890958864
AC005943.2,2.8725750060931494
AC005943.6,4.361637130745044
AC005944.2,2.7420936104041203
AC005954.3,0.017757348792548845
AC005954.4,0.012701836657258438
AC006000.5,0.004763868211461028
AC006003.3,0.00197962537802662
AC006004.1,0.0008307970391565808
AC006007.1,0.0030698261899722726
AC006011.4,1.0803202203449669
AC006014.7,0.23451033173467778
AC006014.8,0.5584714571294169
AC006019.1,0.0026433871214927265
AC006019.3,0.0754123679600715
AC006019.4,0.01915873411495828
AC006022.4,0.01221279717779013
AC006026.1,0.0
AC006026.12,0.0032701642266542126
AC006026.13,0.009020172775484732
AC006026.9,0.0022454254227391086
AC006028.11,0.06380960158262951
AC006033.22,0.3390788227440839
AC006037.2,0.0023303912064802025
AC006041.1,0.0014187757122917863
AC006042.6,0.34731528944254814
AC006042.7,0.010663675309774965
AC006042.8,0.14442282597311118
AC006050.2,0.21343744928985087
AC006070.12,0.007558255823256966
AC006076.1,0.0011523050544641226
AC006077.3,0.5419081729211207
AC006077.4,0.013758572770649244
AC006088.1,0.0012847503822570555
AC006115.1,0.0054827334605252335
AC006115.6,0.029055321874624843
AC006116.1,0.0017303013114178213
